t54 w10 gold=69 hp=175/175 lvl=16 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":2,"long_resonator":2,"prospectors_luck":1,"chain_spark_arc":2} offer= pros=(-21.2,19.3) works={"boiler_house":2,"turret":2} alive=27 arsenal={"boilerLance":32,"pressureMortar":15,"skyRocket":16} psp=344 fail= boss=-
t55 w10 gold=69 hp=175/175 lvl=16 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":2,"long_resonator":2,"prospectors_luck":1,"chain_spark_arc":2} offer= pros=(-18.5,16.8) works={"boiler_house":2,"turret":2} alive=27 arsenal={"boilerLance":32,"pressureMortar":15,"skyRocket":16} psp=344 fail= boss=-
t56 w10 gold=69 hp=175/175 lvl=16 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":2,"long_resonator":2,"prospectors_luck":1,"chain_spark_arc":2} offer= pros=(-14.5,13.3) works={"boiler_house":2,"turret":2} alive=26 arsenal={"boilerLance":32,"pressureMortar":15,"skyRocket":16} psp=344 fail= boss=-
t57 w10 gold=69 hp=175/175 lvl=17 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":2,"long_resonator":2,"prospectors_luck":1,"chain_spark_arc":2} offer=prospectors_luck|powder_charge|quick_fuse pros=(-13.3,12.2) works={"boiler_house":2,"turret":2} alive=25 arsenal={"boilerLance":32,"pressureMortar":15,"skyRocket":16} psp=344 fail= boss=-
t58 w10 gold=69 hp=175/175 lvl=17 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":2,"long_resonator":2,"prospectors_luck":1,"chain_spark_arc":2} offer=prospectors_luck|powder_charge|quick_fuse pros=(9.4,-8.2) works={"boiler_house":2,"turret":2} alive=20 arsenal={"boilerLance":32,"pressureMortar":15,"skyRocket":16} psp=344 fail= boss=-
t59 w10 gold=69 hp=175/175 lvl=17 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":2,"long_resonator":2,"prospectors_luck":1,"chain_spark_arc":2} offer=prospectors_luck|powder_charge|quick_fuse pros=(9.5,-8.3) works={"boiler_house":2,"turret":2} alive=20 arsenal={"boilerLance":32,"pressureMortar":15,"skyRocket":16} psp=344 fail= boss=-
t60 w10 gold=51 hp=154/175 lvl=17 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":2,"long_resonator":2,"prospectors_luck":2,"chain_spark_arc":2} offer= pros=(7.3,-15.6) works={"boiler_house":2,"turret":2} alive=18 arsenal={"boilerLance":32,"pressureMortar":15,"skyRocket":16} psp=344 fail= boss=-
t61 w10 gold=51 hp=154/175 lvl=17 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":2,"long_resonator":2,"prospectors_luck":2,"chain_spark_arc":2} offer= pros=(8.1,-15.6) works={"boiler_house":2,"turret":2} alive=18 arsenal={"boilerLance":32,"pressureMortar":15,"skyRocket":16} psp=344 fail= boss=-
t62 w10 gold=51 hp=154/175 lvl=17 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":2,"long_resonator":2,"prospectors_luck":2,"chain_spark_arc":2} offer= pros=(11.6,-15.3) works={"boiler_house":2,"turret":2} alive=18 arsenal={"boilerLance":32,"pressureMortar":15,"skyRocket":16} psp=344 fail= boss=-
t63 w10 gold=51 hp=154/175 lvl=17 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":2,"long_resonator":2,"prospectors_luck":2,"chain_spark_arc":2} offer= pros=(12.1,-15.3) works={"boiler_house":2,"turret":2} alive=18 arsenal={"boilerLance":32,"pressureMortar":15,"skyRocket":16} psp=344 fail= boss=-
t64 w10 gold=51 hp=154/175 lvl=17 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":2,"long_resonator":2,"prospectors_luck":2,"chain_spark_arc":2} offer= pros=(10.8,-15.2) works={"boiler_house":2,"turret":2} alive=18 arsenal={"boilerLance":32,"pressureMortar":15,"skyRocket":16} psp=344 fail= boss=-
t65 w10 gold=51 hp=154/175 lvl=17 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":2,"long_resonator":2,"prospectors_luck":2,"chain_spark_arc":2} offer= pros=(8.9,-15.1) works={"boiler_house":2,"turret":2} alive=19 arsenal={"boilerLance":32,"pressureMortar":15,"skyRocket":16} psp=344 fail= boss=-
t66 w10 gold=51 hp=154/175 lvl=17 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":2,"long_resonator":2,"prospectors_luck":2,"chain_spark_arc":2} offer= pros=(8.5,-15.1) works={"boiler_house":2,"turret":2} alive=19 arsenal={"boilerLance":32,"pressureMortar":15,"skyRocket":16} psp=344 fail= boss=-
t67 w10 gold=37 hp=154/175 lvl=17 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":2,"long_resonator":2,"prospectors_luck":2,"chain_spark_arc":2} offer= pros=(7.8,-15.1) works={"boiler_house":2,"turret":2} alive=17 arsenal={"boilerLance":32,"pressureMortar":15,"skyRocket":16} psp=344 fail= boss=-
t68 w10 gold=19 hp=154/175 lvl=17 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":2,"long_resonator":2,"prospectors_luck":2,"chain_spark_arc":2} offer= pros=(14.3,-15.2) works={"boiler_house":2,"turret":2} alive=16 arsenal={"boilerLance":32,"pressureMortar":15,"skyRocket":16} psp=344 fail= boss=-
t69 w10 gold=19 hp=154/175 lvl=17 up={"heavy_spark":3,"split_spark":2,"tinkers_plating":3,"pan_legend":2,"long_resonator":2,"prospectors_luck":2,"chain_spark_arc":2} offer= pros=(14.5,-15.2) works={"boiler_house":2,"turret":2} alive=17 arsenal={"boilerLance":32,"pressureMortar":15,"skyRocket":16} psp=344 fail= boss=-
