
Running 1 test using 1 worker


(node:76842) Warning: The 'NO_COLOR' env is ignored due to the 'FORCE_COLOR' env being set.
(Use `node --trace-warnings ...` to show where the warning was created)

[1/1] [mobile-chrome] › e2e/native-proofs/driver.ts:537:5 › e2-incline plays to its secure wave, banks, reloads and returns to the board @slow
[mobile-chrome] › e2e/native-proofs/driver.ts:537:5 › e2-incline plays to its secure wave, banks, reloads and returns to the board @slow
e2-incline {"t":10.5,"wave":0,"hp":100,"gold":0,"kills":0,"x":-1.5,"z":-19.1,"alive":2,"seams":2}
e2-incline {"t":479.7,"wave":11,"hp":138,"gold":0,"kills":336,"x":1.1,"z":-17.7,"alive":60,"seams":2}

e2-incline {"t":490,"wave":12,"hp":138,"gold":0,"kills":337,"x":1.1,"z":-17.7,"alive":62,"seams":2}

e2-incline {"t":500.3,"wave":12,"hp":138,"gold":0,"kills":338,"x":1.1,"z":-17.7,"alive":61,"seams":2}

e2-incline {"t":510.5,"wave":12,"hp":138,"gold":0,"kills":340,"x":1.1,"z":-17.7,"alive":60,"seams":2}

e2-incline {"t":520.8,"wave":13,"hp":138,"gold":0,"kills":340,"x":1.1,"z":-17.7,"alive":60,"seams":2}

e2-incline {"t":531.2,"wave":13,"hp":138,"gold":0,"kills":341,"x":1.1,"z":-17.7,"alive":59,"seams":2}

e2-incline {"t":541.6,"wave":13,"hp":138,"gold":0,"kills":341,"x":1.1,"z":-17.7,"alive":60,"seams":2}

e2-incline {"t":551.9,"wave":13,"hp":138,"gold":0,"kills":341,"x":1.1,"z":-17.7,"alive":60,"seams":2}

e2-incline {"t":562.1,"wave":14,"hp":138,"gold":0,"kills":343,"x":1.1,"z":-17.7,"alive":60,"seams":2}

e2-incline {"t":572.4,"wave":14,"hp":138,"gold":0,"kills":343,"x":1.1,"z":-17.7,"alive":60,"seams":2}

  1 passed (2.6m)
