(node:93527) ExperimentalWarning: localStorage is not available because --localstorage-file was not provided.
(Use `node --trace-warnings ...` to show where the warning was created)
t0 s0 w0 gold=0 hp=100 works=0/0 alive=0 wheel=spin/240 crossings=000 att=0 pros=(-2,-31) decoy=-
t1 s22 w0 gold=0 hp=100 works=1/1 alive=7 wheel=STOP/230 crossings=000 att=3 pros=(6,-15) decoy=-3.3,-26.52
t2 s23 w0 gold=0 hp=100 works=1/1 alive=6 wheel=STOP/221 crossings=000 att=3 pros=(9,-12) decoy=-3.3,-26.52
t3 s23 w0 gold=0 hp=100 works=1/1 alive=6 wheel=STOP/221 crossings=000 att=3 pros=(9,-12) decoy=-3.3,-26.52
t4 s24 w0 gold=0 hp=100 works=1/1 alive=6 wheel=STOP/211 crossings=000 att=3 pros=(12,-9) decoy=-3.3,-26.52
t5 s24 w0 gold=0 hp=100 works=1/1 alive=6 wheel=STOP/202 crossings=000 att=3 pros=(12,-8) decoy=-3.3,-26.52
t6 s25 w0 gold=0 hp=100 works=1/1 alive=6 wheel=STOP/192 crossings=000 att=3 pros=(14,-6) decoy=-3.3,-26.52
t7 s25 w0 gold=0 hp=100 works=1/1 alive=6 wheel=STOP/182 crossings=000 att=3 pros=(15,-5) decoy=-3.3,-26.52
t8 s26 w0 gold=0 hp=100 works=1/1 alive=5 wheel=STOP/173 crossings=000 att=3 pros=(17,-2) decoy=-3.3,-26.52
t9 s26 w0 gold=0 hp=100 works=1/1 alive=5 wheel=STOP/163 crossings=000 att=3 pros=(18,-2) decoy=-3.3,-26.52
t10 s26 w0 gold=0 hp=100 works=1/1 alive=5 wheel=STOP/163 crossings=000 att=3 pros=(18,-2) decoy=-3.3,-26.52
t11 s26 w0 gold=0 hp=100 works=1/1 alive=5 wheel=STOP/154 crossings=000 att=3 pros=(16,-4) decoy=-3.3,-26.52
t12 s27 w0 gold=0 hp=100 works=1/1 alive=5 wheel=STOP/144 crossings=000 att=3 pros=(15,-4) decoy=-3.3,-26.52
t13 s27 w0 gold=0 hp=100 works=1/1 alive=5 wheel=STOP/134 crossings=000 att=3 pros=(13,-7) decoy=-3.3,-26.52
t14 s27 w0 gold=0 hp=100 works=1/1 alive=5 wheel=STOP/125 crossings=000 att=3 pros=(13,-8) decoy=-3.3,-26.52
t15 s28 w0 gold=0 hp=100 works=1/1 alive=5 wheel=STOP/115 crossings=000 att=3 pros=(10,-11) decoy=-3.3,-26.52
t16 s28 w0 gold=0 hp=100 works=1/1 alive=5 wheel=STOP/106 crossings=000 att=3 pros=(10,-11) decoy=-3.3,-26.52
t17 s29 w0 gold=0 hp=100 works=1/1 alive=5 wheel=STOP/96 crossings=000 att=3 pros=(8,-14) decoy=-3.3,-26.52
t18 s29 w0 gold=0 hp=100 works=1/1 alive=5 wheel=STOP/86 crossings=000 att=3 pros=(7,-14) decoy=-3.3,-26.52
t19 s30 w1 gold=0 hp=100 works=1/1 alive=9 wheel=STOP/86 crossings=000 att=3 pros=(5,-17) decoy=-3.3,-26.52
t20 s30 w1 gold=0 hp=100 works=1/1 alive=9 wheel=STOP/77 crossings=000 att=3 pros=(5,-17) decoy=-3.3,-26.52
t21 s30 w1 gold=0 hp=100 works=1/1 alive=9 wheel=STOP/67 crossings=000 att=3 pros=(5,-18) decoy=-3.3,-26.52
t22 s31 w1 gold=0 hp=100 works=1/1 alive=9 wheel=STOP/58 crossings=000 att=3 pros=(2,-21) decoy=-3.3,-26.52
t23 s31 w1 gold=0 hp=100 works=1/1 alive=9 wheel=STOP/48 crossings=000 att=3 pros=(2,-21) decoy=-3.3,-26.52
t24 s32 w1 gold=0 hp=100 works=1/1 alive=8 wheel=STOP/38 crossings=000 att=3 pros=(-1,-24) decoy=-3.3,-26.52
