ITEM	TYPE	VERDICT	EVIDENCE
F-E8RM-8	finding	OPEN-DESK-ONLY	78
F-CLI-2	finding	OPEN-DESK-ONLY	62
F-2498-1	finding	OPEN-DESK-ONLY	103
F-2473-1	finding	OPEN-DESK-ONLY	25, 155
F-WIN-1	finding	OPEN-DESK-ONLY	246
F-2457-4	finding	OPEN-DESK-ONLY	241
F-2387-1	finding	OPEN-DESK-ONLY	431
F-2386-1	finding	OPEN-DESK-ONLY	425, 433
F-2355-2	finding	OPEN-DESK-ONLY	520
F-2352-3	finding	OPEN-DESK-ONLY	530
F-2350-3	finding	OPEN-DESK-ONLY	543
F-2343-2	finding	OPEN-DESK-ONLY	558
F-2329-1	finding	OPEN-DESK-ONLY	721
F-2320-1	finding	OPEN-DESK-ONLY	594
F-2308-1	finding	OPEN-DESK-ONLY	695
F-2299-2	finding	OPEN-DESK-ONLY	719
F-2299-1	finding	OPEN-DESK-ONLY	720
F-2298-1	finding	OPEN-DESK-ONLY	718
F-2297-1	finding	OPEN-DESK-ONLY	717
F-2296-1	finding	OPEN-DESK-ONLY	716
F-2290-1	finding	OPEN-DESK-ONLY	737
F-2280-2	finding	OPEN-DESK-ONLY	749
F-2272-1	finding	OPEN	801
F-2270-3	finding	OPEN-DESK-ONLY	815
F-1313-3	finding	OPEN-DESK-ONLY	2670
F-2261-2	finding	OPEN-DESK-ONLY	833
F-2190-2	finding	OPEN-DESK-ONLY	965
F-2159-1	finding	OPEN-DESK-ONLY	1100
F-ASSAY-E2E-6	finding	OPEN-DESK-ONLY	1010, 1050
F-1637-2	finding	OPEN-DESK-ONLY	1027, 5326
F-E2S-4	finding	OPEN-DESK-ONLY	1689, 1731
F-1656-3	finding	OPEN-DESK-ONLY	1541
F-2080-3	finding	OPEN-DESK-ONLY	1320
F-2054-1	finding	OPEN-DESK-ONLY	1377
F-1659-1	finding	OPEN-DESK-ONLY	1555
F-1657-3	finding	OPEN-DESK-ONLY	1535
F-1653-2	finding	OPEN-DESK-ONLY	1548
F-1625-4	finding	OPEN-DESK-ONLY	5295
F-1601-1	finding	OPEN-DESK-ONLY	1695
F-1536-2	finding	OPEN-DESK-ONLY	1904
F-1510-1	finding	OPEN-DESK-ONLY	1950
F-1507-1	finding	OPEN-DESK-ONLY	1979
F-1501-3	finding	OPEN-DESK-ONLY	2008
F-1193-3	finding	OPEN-DESK-ONLY	1683, 1684, 1750, 4938
F-1182-2	finding	OPEN-DESK-ONLY	4944
F-E8LO-3	finding	OPEN-DESK-ONLY	1291
F-DOOR-6	finding	OPEN-DESK-ONLY	1739
e10-lore-owner-read	slug	OPEN	goals.json; blockClass=owner-fork
F-1457-4	finding	OPEN-DESK-ONLY	2044
F-1055-2	finding	OPEN-DESK-ONLY	4174
F-1103-2	finding	OPEN-DESK-ONLY	4580
F-PT15-1	finding	OPEN-DESK-ONLY	975
F-2397-3	finding	OPEN-DESK-ONLY	402

CLOSED=0 · OPEN=2 · BOTH=0 · OPEN-DESK-ONLY=51 · UNRECORDED=0
