v	t	w	gold	pan	stole	hp	mx	hx	hz	alive	wr	th	stand	wrk	kinds	tiers	arr	fuel	tar	stored	graded	veh	wx	offer	sec	fails
1	0	0	0	0	0	100	100	0	8	0	0	0	0	0	{}	0	false	0	0	0		idle@-20,-8	clear			
2	30	1	0	0	0	100	100	0	8	7	0	0	0	0	{}	0	false	0	0	0		idle@-20,-8	clear			
3	40.3	1	0	0	0	68	100	0	8	3	0	0	0	0	{}	0	false	0	0	0		idle@-20,-8	storm	wide_ring,pan_legend,double_tap_coil		
4	60.03	2	0	0	0	68	100	0	8	8	0	0	0	0	{}	0	false	0	0	0		idle@-20,-8	clear	wide_ring,pan_legend,double_tap_coil		
5	78.03	2	0	0	0	12	100	0	8	6	0	0	0	0	{}	0	false	0	0	0		idle@-20,-8	storm	prospectors_luck,tinkers_plating,pan_legend		
6	79.03	2	0	0	0	0	100	0	8	6	0	0	0	0	{}	0	false	0	0	0		idle@-20,-8	storm	prospectors_luck,tinkers_plating,pan_legend		
