v	t	w	gold	pan	stole	hp	mx	hx	hz	alive	wr	th	stand	wrk	kinds	tiers	arr	fuel	tar	stored	graded	veh	wx	offer	sec	fails
1	0	0	0	0	0	100	100	0	8	0	0	0	0	0	{}	0	false	0	0	0		idle@-20,-8	clear			
2	30	1	0	0	0	76	100	0.3	28.9	10	0	0	0	0	{}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	clear			
3	37.77	1	30	30	0	76	100	0	14.2	6	0	0	0	0	{}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	telegraph			HARVEST:INVALID_TARGET: gold-seam-3 is unavailable.
4	43.2	1	30	30	0	76	100	0	14.2	6	0	0	0	0	{}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	storm	wide_ring,pan_legend,double_tap_coil		
5	60.03	2	30	30	0	20	100	0	14.2	8	0	0	0	0	{}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	clear			
6	63.63	2	60	60	0	20	100	0	14.2	7	0	0	0	0	{}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	clear			HARVEST:INVALID_TARGET: gold-seam-3 is unavailable.
7	69.63	2	60	60	0	0	100	0	14.2	8	0	0	0	0	{}	0	true	16.279	0	19.721	camp-to-railhead	arrived@1,71	telegraph			
