v1 t=0.0 w0 hp=100.0/100.0 h=(0.0,-36.0) p=(-1.8,-37.1) g=0 pan=0 stl=0 alive=0 wr=0 th=0 std=0 wrk=0 suit=60.0 dome=null cred=0/4 win=0 cw=0 reach=0 bl=0 wh=0 probe=false
v2 t=30.0 w1 hp=100.0/100.0 h=(0.0,-45.4) p=(4.2,-19.0) g=0 pan=0 stl=0 alive=13 wr=0 th=0 std=0 wrk=0 suit=49.8 dome=far-side-landing-yard cred=1/4 win=0 cw=1 reach=1 bl=0 wh=0 probe=true
v3 t=40.2 w1 hp=100.0/100.0 h=(0.0,-34.2) p=(-9.0,-22.0) g=60 pan=60 stl=0 alive=14 wr=0 th=0 std=0 wrk=0 suit=60.0 dome=far-side-landing-yard cred=1/4 win=0 cw=1 reach=1 bl=0 wh=0 probe=true
v4 t=51.7 w1 hp=92.8/100.0 h=(0.0,-46.1) p=(-1.7,-47.3) g=35 pan=60 stl=0 alive=10 wr=0 th=0 std=1 wrk=0 suit=60.0 dome=far-side-landing-yard cred=1/4 win=0 cw=1 reach=1 bl=0 wh=0 probe=true
v5 t=55.2 w1 hp=78.4/100.0 h=(0.0,-35.0) p=(-2.0,-38.2) g=35 pan=60 stl=0 alive=6 wr=0 th=0 std=1 wrk=0 suit=60.0 dome=far-side-landing-yard cred=1/4 win=0 cw=1 reach=1 bl=0 wh=0 probe=true
v6 t=60.0 w2 hp=78.4/100.0 h=(0.0,-45.5) p=(-16.0,-34.0) g=75 pan=100 stl=0 alive=11 wr=0 th=0 std=1 wrk=0 suit=60.0 dome=far-side-landing-yard cred=1/4 win=0 cw=1 reach=1 bl=0 wh=0 probe=true
v7 t=90.0 w3 hp=78.4/100.0 h=(0.0,-33.9) p=(-1.6,-35.4) g=25 pan=100 stl=0 alive=12 wr=0 th=0 std=2 wrk=0 suit=60.0 dome=far-side-landing-yard cred=1/4 win=0 cw=1 reach=1 bl=0 wh=0 probe=true
v8 t=101.6 w3 hp=78.4/100.0 h=(0.0,-46.1) p=(16.0,-34.0) g=95 pan=170 stl=0 alive=9 wr=0 th=0 std=2 wrk=0 suit=60.0 dome=far-side-landing-yard cred=1/4 win=0 cw=1 reach=1 bl=0 wh=0 probe=true
v9 t=105.1 w3 hp=71.2/100.0 h=(0.0,-46.1) p=(0.1,-38.2) g=95 pan=170 stl=0 alive=5 wr=0 th=0 std=2 wrk=0 suit=60.0 dome=far-side-landing-yard cred=1/4 win=0 cw=1 reach=1 bl=0 wh=0 probe=true
v10 t=107.8 w3 hp=71.2/100.0 h=(0.0,-46.1) p=(-12.5,-41.5) g=95 pan=170 stl=0 alive=4 wr=0 th=0 std=2 wrk=0 suit=60.0 dome=far-side-landing-yard cred=1/4 win=0 cw=1 reach=1 bl=0 wh=0 probe=true
v11 t=115.1 w3 hp=71.2/100.0 h=(0.0,-34.0) p=(9.0,-22.0) g=70 pan=180 stl=0 alive=3 wr=0 th=0 std=3 wrk=0 suit=60.0 dome=far-side-landing-yard cred=1/4 win=0 cw=1 reach=1 bl=0 wh=0 probe=true
v12 t=119.2 w3 hp=71.2/100.0 h=(0.0,-34.0) p=(-8.8,-30.5) g=70 pan=180 stl=0 alive=4 wr=0 th=0 std=3 wrk=0 suit=60.0 dome=far-side-landing-yard cred=1/4 win=0 cw=1 reach=1 bl=0 wh=0 probe=true
v13 t=120.0 w4 hp=71.2/100.0 h=(0.0,-36.0) p=(-5.8,-32.5) g=0 pan=180 stl=0 alive=13 wr=0 th=0 std=4 wrk=0 suit=60.0 dome=far-side-landing-yard cred=1/4 win=1 cw=0 reach=1 bl=0 wh=0 probe=true
v14 t=135.9 w4 hp=64.0/100.0 h=(0.0,34.4) p=(-1.8,5.8) g=0 pan=180 stl=0 alive=11 wr=0 th=0 std=4 wrk=0 suit=45.9 dome=null cred=2/4 win=1 cw=1 reach=1 bl=0 wh=0 probe=true
v15 t=150.0 w5 hp=49.6/100.0 h=(0.0,-44.9) p=(-6.3,-18.4) g=0 pan=180 stl=0 alive=23 wr=0 th=0 std=4 wrk=0 suit=48.6 dome=far-side-landing-yard cred=2/4 win=1 cw=1 reach=1 bl=0 wh=0 probe=true
v16 t=159.1 w5 hp=42.4/100.0 h=(6.5,-43.9) p=(-9.2,-42.9) g=0 pan=180 stl=0 alive=18 wr=0 th=0 std=4 wrk=0 suit=60.0 dome=far-side-landing-yard cred=2/4 win=1 cw=1 reach=1 bl=0 wh=0 probe=true
v17 t=167.5 w5 hp=67.4/125.0 h=(-7.0,-44.0) p=(-12.8,-45.2) g=0 pan=180 stl=0 alive=10 wr=0 th=0 std=4 wrk=0 suit=60.0 dome=far-side-landing-yard cred=2/4 win=1 cw=1 reach=1 bl=0 wh=0 probe=true
v18 t=180.0 w6 hp=92.4/150.0 h=(-19.7,-44.0) p=(-8.0,-45.3) g=0 pan=180 stl=0 alive=17 wr=0 th=0 std=4 wrk=0 suit=60.0 dome=far-side-landing-yard cred=2/4 win=1 cw=1 reach=1 bl=0 wh=0 probe=true
v19 t=183.1 w6 hp=92.4/150.0 h=(-3.1,-44.0) p=(-9.2,-45.1) g=0 pan=180 stl=0 alive=14 wr=0 th=0 std=4 wrk=0 suit=60.0 dome=far-side-landing-yard cred=2/4 win=1 cw=1 reach=1 bl=0 wh=0 probe=true
v20 t=192.2 w6 hp=63.6/150.0 h=(-6.4,-44.0) p=(0.6,-45.2) g=0 pan=180 stl=0 alive=10 wr=0 th=0 std=4 wrk=0 suit=60.0 dome=far-side-landing-yard cred=2/4 win=1 cw=1 reach=1 bl=0 wh=0 probe=true
v21 t=210.0 w7 hp=74.2/175.0 h=(5.4,-44.0) p=(-4.4,-45.3) g=0 pan=180 stl=0 alive=20 wr=0 th=0 std=4 wrk=0 suit=60.0 dome=far-side-landing-yard cred=2/4 win=1 cw=1 reach=1 bl=0 wh=0 probe=true
v22 t=213.6 w7 hp=74.2/175.0 h=(-10.3,-44.0) p=(-5.7,-45.4) g=0 pan=180 stl=0 alive=16 wr=0 th=0 std=4 wrk=0 suit=60.0 dome=far-side-landing-yard cred=2/4 win=1 cw=1 reach=1 bl=0 wh=0 probe=true
v23 t=225.4 w7 hp=59.8/175.0 h=(-9.5,-44.0) p=(-0.2,-45.4) g=0 pan=180 stl=0 alive=12 wr=0 th=0 std=4 wrk=0 suit=60.0 dome=far-side-landing-yard cred=2/4 win=1 cw=1 reach=1 bl=0 wh=0 probe=true
v24 t=240.0 w8 hp=59.8/175.0 h=(-16.9,-44.0) p=(-7.8,-45.3) g=0 pan=180 stl=0 alive=25 wr=0 th=0 std=4 wrk=0 suit=60.0 dome=far-side-landing-yard cred=2/4 win=2 cw=0 reach=1 bl=0 wh=0 probe=true
v25 t=247.1 w8 hp=59.8/175.0 h=(-7.8,-5.0) p=(-12.0,-28.5) g=0 pan=180 stl=0 alive=15 wr=0 th=0 std=4 wrk=0 suit=55.8 dome=null cred=2/4 win=2 cw=0 reach=1 bl=0 wh=0 probe=true
