v23 t=210.0 w7 hp=139.0/175.0 h=(0.0,-34.1) p=(-1.7,-35.5) g=20 pan=340 stl=0 alive=18 wr=0 th=0 std=6 wrk=0 suit=60.0 dome=far-side-landing-yard cred=2/4 win=1 cw=1 reach=1 bl=0 wh=0 probe=true
v24 t=211.2 w7 hp=139.0/175.0 h=(0.0,-37.9) p=(-1.6,-38.1) g=20 pan=340 stl=0 alive=16 wr=0 th=0 std=6 wrk=0 suit=60.0 dome=far-side-landing-yard cred=2/4 win=1 cw=1 reach=1 bl=0 wh=0 probe=true
v25 t=215.6 w7 hp=139.0/175.0 h=(0.0,-45.6) p=(-9.0,-22.0) g=60 pan=380 stl=0 alive=12 wr=0 th=0 std=6 wrk=0 suit=60.0 dome=far-side-landing-yard cred=2/4 win=1 cw=1 reach=1 bl=0 wh=0 probe=true
v26 t=222.8 w7 hp=139.0/175.0 h=(0.0,-35.4) p=(5.9,-34.3) g=5 pan=380 stl=0 alive=10 wr=0 th=0 std=7 wrk=0 suit=60.0 dome=far-side-landing-yard cred=2/4 win=1 cw=1 reach=1 bl=0 wh=0 probe=true
v27 t=225.8 w7 hp=139.0/175.0 h=(0.0,-44.2) p=(9.0,-22.0) g=45 pan=420 stl=0 alive=6 wr=0 th=0 std=7 wrk=0 suit=60.0 dome=far-side-landing-yard cred=2/4 win=1 cw=1 reach=1 bl=0 wh=0 probe=true
v28 t=240.0 w8 hp=139.0/175.0 h=(0.0,-34.5) p=(-2.0,-35.6) g=45 pan=420 stl=0 alive=22 wr=0 th=0 std=7 wrk=0 suit=60.0 dome=far-side-landing-yard cred=2/4 win=2 cw=0 reach=1 bl=0 wh=0 probe=true
v29 t=243.3 w8 hp=139.0/175.0 h=(0.0,-18.1) p=(-1.8,-27.0) g=45 pan=420 stl=0 alive=15 wr=0 th=0 std=7 wrk=0 suit=58.0 dome=null cred=2/4 win=2 cw=0 reach=1 bl=0 wh=0 probe=true
v30 t=260.6 w8 hp=117.4/175.0 h=(0.0,3.2) p=(-1.6,8.9) g=45 pan=420 stl=0 alive=14 wr=0 th=0 std=7 wrk=0 suit=40.6 dome=null cred=3/4 win=2 cw=1 reach=1 bl=0 wh=0 probe=true
v31 t=270.0 w9 hp=117.4/175.0 h=(0.0,-45.5) p=(4.8,-19.6) g=45 pan=420 stl=0 alive=36 wr=0 th=0 std=7 wrk=0 suit=50.6 dome=far-side-landing-yard cred=3/4 win=2 cw=1 reach=1 bl=0 wh=0 probe=true
v32 t=281.0 w9 hp=117.4/175.0 h=(0.0,-34.0) p=(-5.0,-23.9) g=105 pan=480 stl=0 alive=27 wr=0 th=0 std=7 wrk=0 suit=60.0 dome=far-side-landing-yard cred=3/4 win=2 cw=1 reach=1 bl=0 wh=0 probe=true
