v28 t=275.5 w9 g=10 pan=155 stol=0 hp=95/175 h=(-11.0,5.9) p=(6.3,4.2) suit=60 dome=claw-carcass-yard cred=3/4 win=2 cw=1 reach=2 breathless=0 works=3/0 alive=11 drift=1179
v29 t=287.6 w9 g=20 pan=165 stol=0 hp=87/175 h=(-4.7,7.1) p=(8.4,4.3) suit=60 dome=claw-carcass-yard cred=3/4 win=2 cw=1 reach=2 breathless=0 works=3/0 alive=5 drift=1179
v30 t=297.9 w9 g=40 pan=185 stol=0 hp=87/175 h=(-0.4,7.6) p=(12.0,4.0) suit=60 dome=claw-carcass-yard cred=3/4 win=2 cw=1 reach=2 breathless=0 works=3/0 alive=4 drift=1179
v31 t=300.0 w10 g=40 pan=185 stol=0 hp=87/175 h=(-6.6,6.3) p=(2.5,7.4) suit=60 dome=claw-carcass-yard cred=3/4 win=2 cw=1 reach=2 breathless=0 works=3/0 alive=21 drift=1179
v32 t=311.2 w10 g=10 pan=190 stol=0 hp=79/175 h=(32.2,16.4) p=(-38.0,2.0) suit=55.9 dome=VAC cred=3/4 win=2 cw=1 reach=2 breathless=0 works=4/0 alive=22 drift=1301
v33 t=327.0 w10 g=10 pan=190 stol=0 hp=71/175 h=(20.1,13.1) p=(16.6,3.5) suit=59.267 dome=VAC cred=3/4 win=2 cw=1 reach=2 breathless=0 works=4/0 alive=6 drift=1468
v34 t=330.0 w11 g=10 pan=190 stol=0 hp=71/175 h=(15.5,12.1) p=(31.1,2.5) suit=59.233 dome=claw-carcass-yard cred=3/4 win=2 cw=1 reach=2 breathless=0 works=4/0 alive=25 drift=1542
v35 t=344.0 w11 g=25 pan=205 stol=0 hp=31/175 h=(7.8,9.6) p=(38.0,2.0) suit=60 dome=claw-carcass-yard cred=3/4 win=2 cw=1 reach=2 breathless=0 works=4/0 alive=15 drift=1542
v36 t=360.0 w12 g=35 pan=215 stol=0 hp=31/175 h=(19.4,11.9) p=(13.3,5.6) suit=58.5 dome=VAC cred=3/4 win=3 cw=0 reach=2 breathless=0 works=4/0 alive=27 drift=1602
v37 t=365.2 w12 g=35 pan=215 stol=0 hp=31/175 h=(33.2,0.8) p=(25.2,3.6) suit=53.3 dome=VAC cred=4/4 win=3 cw=1 reach=2 breathless=0 works=4/0 alive=14 drift=1704
v38 t=380.7 w12 g=45 pan=225 stol=0 hp=23/175 h=(-10.0,10.2) p=(14.6,4.1) suit=60 dome=claw-carcass-yard cred=4/4 win=3 cw=1 reach=2 breathless=0 works=4/0 alive=9 drift=1704
v39 t=390.0 w13 g=50 pan=230 stol=0 hp=23/175 h=(22.6,3.0) p=(14.2,3.5) suit=57.133 dome=VAC cred=4/4 win=3 cw=1 reach=2 breathless=0 works=4/0 alive=26 drift=1707
v40 t=397.2 w13 g=55 pan=235 stol=0 hp=23/175 h=(0.4,8.1) p=(6.8,5.1) suit=60 dome=claw-carcass-yard cred=4/4 win=3 cw=1 reach=2 breathless=0 works=4/0 alive=10 drift=1707
v41 t=401.5 w13 g=60 pan=240 stol=0 hp=0/175 h=(22.7,3.5) p=(-12.0,4.0) suit=58.967 dome=VAC cred=4/4 win=3 cw=1 reach=2 breathless=0 works=4/0 alive=25 drift=1719
