v	t	wave	gold	pan	hp	hx	hz	alive	standing	wrecked	stakes	pen	penGold	exh	byKind
1	0	0	0	0	100	0	12	0	0	0	wes:. cen:. eas:.	0	0	0	{}
2	30	1	0	0	100	0	12	7	0	0	wes:X6.0 cen:. eas:.	0	0	1	{}
3	60.03	2	0	0	100	0	12	10	0	0	wes:X6.0 cen:X6.0 eas:.	0	0	2	{}
4	90.03	3	0	0	100	0	12	20	0	0	wes:X6.0 cen:X6.0 eas:.	0	0	10	{}
5	97.97	3	0	0	100	0	12	17	0	0	wes:X6.0 cen:X6.0 eas:X6.0	0	0	12	{}
