ITEM	TYPE	VERDICT	EVIDENCE
F-E8RM-8	finding	OPEN-DESK-ONLY	336
F-CLI-2	finding	OPEN-DESK-ONLY	320
F-2498-1	finding	OPEN-DESK-ONLY	361
F-2473-1	finding	OPEN-DESK-ONLY	283, 413
F-WIN-1	finding	OPEN-DESK-ONLY	504
F-2457-4	finding	OPEN-DESK-ONLY	499
F-2387-1	finding	OPEN-DESK-ONLY	689
F-2386-1	finding	OPEN-DESK-ONLY	683, 691
F-2355-2	finding	OPEN-DESK-ONLY	778
F-2352-3	finding	OPEN-DESK-ONLY	788
F-2350-3	finding	OPEN-DESK-ONLY	801
F-2343-2	finding	OPEN-DESK-ONLY	816
F-2329-1	finding	OPEN-DESK-ONLY	979
F-2320-1	finding	OPEN-DESK-ONLY	852
F-2308-1	finding	OPEN-DESK-ONLY	953
F-2299-2	finding	OPEN-DESK-ONLY	977
F-2299-1	finding	OPEN-DESK-ONLY	978
F-2298-1	finding	OPEN-DESK-ONLY	976
F-2297-1	finding	OPEN-DESK-ONLY	975
F-2296-1	finding	OPEN-DESK-ONLY	974
F-2290-1	finding	OPEN-DESK-ONLY	995
F-2280-2	finding	OPEN-DESK-ONLY	1007
F-2272-1	finding	OPEN	1059
F-2270-3	finding	OPEN-DESK-ONLY	1073
F-1313-3	finding	OPEN-DESK-ONLY	2928
F-2261-2	finding	OPEN-DESK-ONLY	1091
F-2190-2	finding	OPEN-DESK-ONLY	1223
F-2159-1	finding	OPEN-DESK-ONLY	1358
F-ASSAY-E2E-6	finding	OPEN-DESK-ONLY	1268, 1308
F-1637-2	finding	OPEN-DESK-ONLY	1285, 5584
F-E2S-4	finding	OPEN-DESK-ONLY	1947, 1989
F-1656-3	finding	OPEN-DESK-ONLY	1799
F-2080-3	finding	OPEN-DESK-ONLY	1578
F-2054-1	finding	OPEN-DESK-ONLY	1635
F-1659-1	finding	OPEN-DESK-ONLY	1813
F-1657-3	finding	OPEN-DESK-ONLY	1793
F-1653-2	finding	OPEN-DESK-ONLY	1806
F-1625-4	finding	OPEN-DESK-ONLY	5553
F-1601-1	finding	OPEN-DESK-ONLY	1953
F-1536-2	finding	OPEN-DESK-ONLY	2162
F-1510-1	finding	OPEN-DESK-ONLY	2208
F-1507-1	finding	OPEN-DESK-ONLY	2237
F-1501-3	finding	OPEN-DESK-ONLY	2266
F-1193-3	finding	OPEN-DESK-ONLY	1941, 1942, 2008, 5196
F-1182-2	finding	OPEN-DESK-ONLY	5202
F-E8LO-3	finding	OPEN-DESK-ONLY	1549
F-DOOR-6	finding	OPEN-DESK-ONLY	1997
e10-lore-owner-read	slug	OPEN	goals.json; blockClass=owner-fork
F-1457-4	finding	OPEN-DESK-ONLY	2302
F-1055-2	finding	OPEN-DESK-ONLY	4432
F-1103-2	finding	OPEN-DESK-ONLY	4838
F-PT15-1	finding	OPEN-DESK-ONLY	1233
F-2397-3	finding	OPEN-DESK-ONLY	660
F-EAL-3	finding	OPEN-DESK-ONLY	106
F-YR-1	finding	OPEN-DESK-ONLY	91

CLOSED=0 · OPEN=2 · BOTH=0 · OPEN-DESK-ONLY=53 · UNRECORDED=0
