cors-probe (after): tree b2d0c3992, node v26.4.0; eight doors, every CORS entry point, called in process, no port, no live request
door | entry | env | origin | status error | allow-origin | expected | verdict
functions/api/_accounts.ts | sessionStatus | pages production | https://feature-x.gold-rush-3in.pages.dev | 204 | https://feature-x.gold-rush-3in.pages.dev | admit https://feature-x.gold-rush-3in.pages.dev | ok
functions/api/_accounts.ts | sessionStatus | pages production | https://evil.example | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | pushSave | pages production | http://localhost:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | pushSave | pages production | http://127.0.0.1:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | pushSave | pages production | https://agenttown.app | 204 | https://agenttown.app | admit https://agenttown.app | ok
functions/api/_accounts.ts | pushSave | pages production | https://www.agenttown.app | 204 | https://www.agenttown.app | admit https://www.agenttown.app | ok
functions/api/_accounts.ts | pushSave | pages production | https://gold-rush-3in.pages.dev | 204 | https://gold-rush-3in.pages.dev | admit https://gold-rush-3in.pages.dev | ok
functions/api/_accounts.ts | pushSave | pages production | https://feature-x.gold-rush-3in.pages.dev | 204 | https://feature-x.gold-rush-3in.pages.dev | admit https://feature-x.gold-rush-3in.pages.dev | ok
functions/api/_accounts.ts | pushSave | pages production | https://evil.example | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | pullSave | pages production | http://localhost:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | pullSave | pages production | http://127.0.0.1:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | pullSave | pages production | https://agenttown.app | 204 | https://agenttown.app | admit https://agenttown.app | ok
functions/api/_accounts.ts | pullSave | pages production | https://www.agenttown.app | 204 | https://www.agenttown.app | admit https://www.agenttown.app | ok
functions/api/_accounts.ts | pullSave | pages production | https://gold-rush-3in.pages.dev | 204 | https://gold-rush-3in.pages.dev | admit https://gold-rush-3in.pages.dev | ok
functions/api/_accounts.ts | pullSave | pages production | https://feature-x.gold-rush-3in.pages.dev | 204 | https://feature-x.gold-rush-3in.pages.dev | admit https://feature-x.gold-rush-3in.pages.dev | ok
functions/api/_accounts.ts | pullSave | pages production | https://evil.example | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | saveVersions | pages production | http://localhost:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | saveVersions | pages production | http://127.0.0.1:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | saveVersions | pages production | https://agenttown.app | 204 | https://agenttown.app | admit https://agenttown.app | ok
functions/api/_accounts.ts | saveVersions | pages production | https://www.agenttown.app | 204 | https://www.agenttown.app | admit https://www.agenttown.app | ok
functions/api/_accounts.ts | saveVersions | pages production | https://gold-rush-3in.pages.dev | 204 | https://gold-rush-3in.pages.dev | admit https://gold-rush-3in.pages.dev | ok
functions/api/_accounts.ts | saveVersions | pages production | https://feature-x.gold-rush-3in.pages.dev | 204 | https://feature-x.gold-rush-3in.pages.dev | admit https://feature-x.gold-rush-3in.pages.dev | ok
functions/api/_accounts.ts | saveVersions | pages production | https://evil.example | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | saveProfiles | pages production | http://localhost:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | saveProfiles | pages production | http://127.0.0.1:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | saveProfiles | pages production | https://agenttown.app | 204 | https://agenttown.app | admit https://agenttown.app | ok
functions/api/_accounts.ts | saveProfiles | pages production | https://www.agenttown.app | 204 | https://www.agenttown.app | admit https://www.agenttown.app | ok
functions/api/_accounts.ts | saveProfiles | pages production | https://gold-rush-3in.pages.dev | 204 | https://gold-rush-3in.pages.dev | admit https://gold-rush-3in.pages.dev | ok
functions/api/_accounts.ts | saveProfiles | pages production | https://feature-x.gold-rush-3in.pages.dev | 204 | https://feature-x.gold-rush-3in.pages.dev | admit https://feature-x.gold-rush-3in.pages.dev | ok
functions/api/_accounts.ts | saveProfiles | pages production | https://evil.example | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | deleteAccount | pages production | http://localhost:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | deleteAccount | pages production | http://127.0.0.1:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/_accounts.ts | deleteAccount | pages production | https://agenttown.app | 204 | https://agenttown.app | admit https://agenttown.app | ok
functions/api/_accounts.ts | deleteAccount | pages production | https://www.agenttown.app | 204 | https://www.agenttown.app | admit https://www.agenttown.app | ok
functions/api/_accounts.ts | deleteAccount | pages production | https://gold-rush-3in.pages.dev | 204 | https://gold-rush-3in.pages.dev | admit https://gold-rush-3in.pages.dev | ok
functions/api/_accounts.ts | deleteAccount | pages production | https://feature-x.gold-rush-3in.pages.dev | 204 | https://feature-x.gold-rush-3in.pages.dev | admit https://feature-x.gold-rush-3in.pages.dev | ok
functions/api/_accounts.ts | deleteAccount | pages production | https://evil.example | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/redeem.ts | onRequest | pages production | http://localhost:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/redeem.ts | onRequest | pages production | http://127.0.0.1:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/redeem.ts | onRequest | pages production | https://agenttown.app | 204 | https://agenttown.app | admit https://agenttown.app | ok
functions/api/redeem.ts | onRequest | pages production | https://www.agenttown.app | 204 | https://www.agenttown.app | admit https://www.agenttown.app | ok
functions/api/redeem.ts | onRequest | pages production | https://gold-rush-3in.pages.dev | 204 | https://gold-rush-3in.pages.dev | admit https://gold-rush-3in.pages.dev | ok
functions/api/redeem.ts | onRequest | pages production | https://feature-x.gold-rush-3in.pages.dev | 204 | https://feature-x.gold-rush-3in.pages.dev | admit https://feature-x.gold-rush-3in.pages.dev | ok
functions/api/redeem.ts | onRequest | pages production | https://evil.example | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/standings.ts | onRequest | pages production | http://localhost:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/standings.ts | onRequest | pages production | http://127.0.0.1:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/standings.ts | onRequest | pages production | https://agenttown.app | 204 | https://agenttown.app | admit https://agenttown.app | ok
functions/api/standings.ts | onRequest | pages production | https://www.agenttown.app | 204 | https://www.agenttown.app | admit https://www.agenttown.app | ok
functions/api/standings.ts | onRequest | pages production | https://gold-rush-3in.pages.dev | 204 | https://gold-rush-3in.pages.dev | admit https://gold-rush-3in.pages.dev | ok
functions/api/standings.ts | onRequest | pages production | https://feature-x.gold-rush-3in.pages.dev | 204 | https://feature-x.gold-rush-3in.pages.dev | admit https://feature-x.gold-rush-3in.pages.dev | ok
functions/api/standings.ts | onRequest | pages production | https://evil.example | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/standings.ts | onRequestAssayQueue | pages production | http://localhost:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/standings.ts | onRequestAssayQueue | pages production | http://127.0.0.1:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/standings.ts | onRequestAssayQueue | pages production | https://agenttown.app | 401 unauthorized | https://agenttown.app | admit https://agenttown.app | ok
functions/api/standings.ts | onRequestAssayQueue | pages production | https://www.agenttown.app | 401 unauthorized | https://www.agenttown.app | admit https://www.agenttown.app | ok
functions/api/standings.ts | onRequestAssayQueue | pages production | https://gold-rush-3in.pages.dev | 401 unauthorized | https://gold-rush-3in.pages.dev | admit https://gold-rush-3in.pages.dev | ok
functions/api/standings.ts | onRequestAssayQueue | pages production | https://feature-x.gold-rush-3in.pages.dev | 401 unauthorized | https://feature-x.gold-rush-3in.pages.dev | admit https://feature-x.gold-rush-3in.pages.dev | ok
functions/api/standings.ts | onRequestAssayQueue | pages production | https://evil.example | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/standings.ts | onRequestAssayVerdict | pages production | http://localhost:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/standings.ts | onRequestAssayVerdict | pages production | http://127.0.0.1:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/standings.ts | onRequestAssayVerdict | pages production | https://agenttown.app | 401 unauthorized | https://agenttown.app | admit https://agenttown.app | ok
functions/api/standings.ts | onRequestAssayVerdict | pages production | https://www.agenttown.app | 401 unauthorized | https://www.agenttown.app | admit https://www.agenttown.app | ok
functions/api/standings.ts | onRequestAssayVerdict | pages production | https://gold-rush-3in.pages.dev | 401 unauthorized | https://gold-rush-3in.pages.dev | admit https://gold-rush-3in.pages.dev | ok
functions/api/standings.ts | onRequestAssayVerdict | pages production | https://feature-x.gold-rush-3in.pages.dev | 401 unauthorized | https://feature-x.gold-rush-3in.pages.dev | admit https://feature-x.gold-rush-3in.pages.dev | ok
functions/api/standings.ts | onRequestAssayVerdict | pages production | https://evil.example | 403 cors_forbidden | (none) | refuse 403 (none) | ok
functions/api/standings.ts | onRequestStandingsReassay | pages production | http://localhost:5188 | 403 cors_forbidden | (none) | refuse 403 (none) | ok
