ITEM	TYPE	VERDICT	EVIDENCE
F-2498-1	finding	OPEN-DESK-ONLY	45
F-2473-1	finding	OPEN-DESK-ONLY	97
F-WIN-1	finding	OPEN-DESK-ONLY	188
F-2457-4	finding	OPEN-DESK-ONLY	183
F-2387-1	finding	OPEN-DESK-ONLY	373
F-2386-1	finding	OPEN-DESK-ONLY	367, 375
F-2355-2	finding	OPEN-DESK-ONLY	462
F-2352-3	finding	OPEN-DESK-ONLY	472
F-2350-3	finding	OPEN-DESK-ONLY	485
F-2343-2	finding	OPEN-DESK-ONLY	500
F-2329-1	finding	OPEN-DESK-ONLY	663
F-2320-1	finding	OPEN-DESK-ONLY	536
F-2308-1	finding	OPEN-DESK-ONLY	637
F-2299-2	finding	OPEN-DESK-ONLY	661
F-2299-1	finding	OPEN-DESK-ONLY	662
F-2298-1	finding	OPEN-DESK-ONLY	660
F-2297-1	finding	OPEN-DESK-ONLY	659
F-2296-1	finding	OPEN-DESK-ONLY	658
F-2290-1	finding	OPEN-DESK-ONLY	679
F-2280-2	finding	OPEN-DESK-ONLY	691
F-2272-1	finding	OPEN	743
F-2270-3	finding	OPEN-DESK-ONLY	757
F-1313-3	finding	OPEN-DESK-ONLY	2612
F-2261-2	finding	OPEN-DESK-ONLY	775
F-2190-2	finding	OPEN-DESK-ONLY	907
F-2159-1	finding	OPEN-DESK-ONLY	1042
F-ASSAY-E2E-6	finding	OPEN-DESK-ONLY	952, 992
F-1637-2	finding	OPEN-DESK-ONLY	969, 5268
F-E2S-4	finding	OPEN-DESK-ONLY	1631, 1673
F-1656-3	finding	OPEN-DESK-ONLY	1483
F-2080-3	finding	OPEN-DESK-ONLY	1262
F-2054-1	finding	OPEN-DESK-ONLY	1319
F-1659-1	finding	OPEN-DESK-ONLY	1497
F-1657-3	finding	OPEN-DESK-ONLY	1477
F-1653-2	finding	OPEN-DESK-ONLY	1490
F-1625-4	finding	OPEN-DESK-ONLY	5237
F-1601-1	finding	OPEN-DESK-ONLY	1637
F-1536-2	finding	OPEN-DESK-ONLY	1846
F-1510-1	finding	OPEN-DESK-ONLY	1892
F-1507-1	finding	OPEN-DESK-ONLY	1921
F-1501-3	finding	OPEN-DESK-ONLY	1950
F-1193-3	finding	OPEN-DESK-ONLY	1625, 1626, 1692, 4880
F-1182-2	finding	OPEN-DESK-ONLY	4886
F-E8LO-3	finding	OPEN-DESK-ONLY	1233
F-DOOR-6	finding	OPEN-DESK-ONLY	1681
e10-lore-owner-read	slug	OPEN	goals.json; blockClass=owner-fork
F-1457-4	finding	OPEN-DESK-ONLY	1986
F-1055-2	finding	OPEN-DESK-ONLY	4116
F-1103-2	finding	OPEN-DESK-ONLY	4522
F-PT15-1	finding	OPEN-DESK-ONLY	917
F-2397-3	finding	OPEN-DESK-ONLY	344

CLOSED=0 · OPEN=2 · BOTH=0 · OPEN-DESK-ONLY=49 · UNRECORDED=0
