  1 t=      0 w 0 hp=  100/100 @(-180,0) g=   0 pan=   0 al= 0 st=0 wr=0 arr=false lead=0/370 tar=0 dr=0 nd=000 v=(-180,0)idle gr=[] clear 
  2 t=    6.4 w 0 hp=  100/100 @(-182.05,-1.3) g=   0 pan=   0 al= 0 st=0 wr=0 arr=false lead=0/370 tar=0 dr=0 nd=000 v=(-180,0)idle gr=[the-long-road] telegraph FAIL MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.
  3 t=  14.53 w 0 hp=  100/100 @(-182.05,-3.1) g=   0 pan=   0 al= 3 st=0 wr=0 arr=false lead=0/370 tar=0 dr=0 nd=000 v=(-180,0)idle gr=[the-long-road] storm FAIL MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.|MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.
  4 t=     30 w 1 hp=  100/100 @(-110.88,-5.49) g=   0 pan=   0 al=13 st=0 wr=0 arr=false lead=0/370 tar=0 dr=0 nd=000 v=(-180,0)idle gr=[the-long-road] clear 
  5 t=  52.07 w 1 hp=   92/100 @(12,-7.23) g=   0 pan=   0 al=17 st=0 wr=0 arr=false lead=0/370 tar=3 dr=0 nd=111 v=(-180,0)idle gr=[the-long-road] clear FAIL MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is outside walkable terrain.
  6 t=   52.1 w 1 hp=   92/100 @(12,-7.2) g=   0 pan=   0 al=17 st=0 wr=0 arr=false lead=0/370 tar=3 dr=0 nd=111 v=(-180,0)idle gr=[the-long-road] clear FAIL MOVE_HERO:UNREACHABLE_TERRAIN: MOVE_HERO target is outside walkable terrain.
  7 t=  60.03 w 2 hp=   92/100 @(59.16,-8.77) g=   0 pan=   0 al=26 st=0 wr=0 arr=false lead=0/370 tar=3 dr=0 nd=111 v=(-180,0)idle gr=[the-long-road] clear 
  8 t=  90.03 w 3 hp=   92/100 @(192,-1.25) g=   0 pan=   0 al=47 st=0 wr=0 arr=false lead=0/370 tar=3 dr=0 nd=111 v=(-180,0)idle gr=[the-long-road] clear 
  9 t= 120.03 w 4 hp=   92/100 @(192,-1.25) g=  30 pan=  30 al=60 st=0 wr=0 arr=true lead=368.721/370 tar=0 dr=24.386 nd=111 v=(192.05,-1.26)arrived gr=[the-long-road] clear 
 10 t=  124.4 w 4 hp=   92/100 @(190.71,-0.66) g=  30 pan=  30 al=57 st=0 wr=0 arr=true lead=368.721/370 tar=0 dr=24.386 nd=111 v=(192.05,-1.26)arrived gr=[the-long-road] clear FAIL MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.
 11 t= 128.47 w 4 hp=   92/100 @(190.71,-0.01) g=  30 pan=  30 al=60 st=0 wr=0 arr=true lead=368.721/370 tar=0 dr=24.386 nd=111 v=(192.05,-1.26)arrived gr=[the-long-road] telegraph FAIL MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.
 12 t= 150.03 w 5 hp=   92/100 @(190.71,0) g=  30 pan=  30 al=60 st=0 wr=0 arr=true lead=368.721/370 tar=0 dr=24.386 nd=111 v=(192.05,-1.26)arrived gr=[the-long-road] clear FAIL MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.|MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.|MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.|MOVE_HERO:UNREACHABLE_APPROACH: MOVE_HERO target has no traversable approach.
