[WebServer] (node:72744) Warning: The 'NO_COLOR' env is ignored due to the 'FORCE_COLOR' env being set.
[WebServer] (Use `node --trace-warnings ...` to show where the warning was created)

Running 4 tests using 1 worker

(node:72745) Warning: The 'NO_COLOR' env is ignored due to the 'FORCE_COLOR' env being set.
(Use `node --trace-warnings ...` to show where the warning was created)
[f1577-3-sweep] tickBefore=35 tickDelta=43 driftAbs=0.2539940944195356 gapClosed=0.2537651427902201 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=44 driftAbs=0.2539940944195356 gapClosed=0.2537651427902201 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=45 driftAbs=0.2539940944195356 gapClosed=0.2537651427902201 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=46 driftAbs=0.27714256259189124 gapClosed=0.27698401786267013 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=47 driftAbs=0.27714256259189124 gapClosed=0.27698401786267013 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=48 driftAbs=0.27714256259189124 gapClosed=0.27698401786267013 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=49 driftAbs=0.27714256259189124 gapClosed=0.27698401786267013 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=50 driftAbs=0.27714256259189124 gapClosed=0.27698401786267013 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=51 driftAbs=0.29980326882807645 gapClosed=0.29971993023969645 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=52 driftAbs=0.29980326882807645 gapClosed=0.29971993023969645 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=53 driftAbs=0.29980326882807645 gapClosed=0.29971993023969645 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=54 driftAbs=0.29980326882807645 gapClosed=0.29971993023969645 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=55 driftAbs=0.3233589336944319 gapClosed=0.3233308099508836 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=56 driftAbs=0.3233589336944319 gapClosed=0.3233308099508836 timeBefore=3.0666666666666647
[f1577-3-sweep] tickBefore=35 tickDelta=57 driftAbs=0.3233589336944319 gapClosed=0.3233308099508836 timeBefore=3.0666666666666647
