symlink-run-table (other-spellings): /Users/robin/Claude/Projects/wt-sf1/scripts
script | real: rc, bytes | symlinked: rc, bytes | verdict
findings-state-guard.mjs | 0, 815 B | 0, 0 B | SILENT
ruling-propagation-guard.mjs | 0, 1601 B | 0, 0 B | SILENT
blocker-panel-closed-guard.mjs | 0, 723 B | 0, 0 B | SILENT
review-evidence-audit.mjs | 0, 215 B | 0, 0 B | SILENT
desk-state-audit.mjs | 0, 207 B | 0, 0 B | SILENT
spawn-bound-census.mjs | 0, 702 B | 0, 0 B | SILENT
row-quote-currency.mjs | 0, 22312 B | 0, 0 B | SILENT
withheld-evidence-audit.mjs | 0, 342 B | 0, 0 B | SILENT
