# stale s2673-desk-* directories under os.tmpdir() = /var/folders/cd/p02kvf6s5qgfn47w85hhtzjc0000gn/T
# listed 2026-09-25T10:30:54Z BEFORE the F-EO1-5 cure; LISTED, NOT DELETED (temp dirs are the owner's to sweep)
# columns: mtime (local)  name  entries
2026-09-25T03:52:19  s2673-desk-BPOWgC  3
2026-09-25T03:52:19  s2673-desk-vD68G1  3
2026-09-25T03:52:19  s2673-desk-vFDzQc  3
2026-09-25T03:52:19  s2673-desk-z4N8BF  3
2026-09-25T03:52:20  s2673-desk-0Xo12w  3
2026-09-25T04:00:12  s2673-desk-0HyoqD  3
2026-09-25T04:00:12  s2673-desk-dG6UD2  3
2026-09-25T04:00:12  s2673-desk-dHD2s0  3
2026-09-25T04:00:12  s2673-desk-eOfdRl  3
2026-09-25T04:00:13  s2673-desk-1s2fPQ  3
2026-09-25T04:00:13  s2673-desk-9x8dEA  3
2026-09-25T04:00:13  s2673-desk-G9096q  3
2026-09-25T04:00:13  s2673-desk-WOSWry  3
2026-09-25T04:00:13  s2673-desk-nAqFwR  3
2026-09-25T04:00:13  s2673-desk-v5aNEB  3
2026-09-25T04:24:33  s2673-desk-05W3QY  3
2026-09-25T04:24:33  s2673-desk-ZQdLvS  3
2026-09-25T04:24:34  s2673-desk-CpObF1  3
2026-09-25T04:24:34  s2673-desk-Ga8gUc  3
2026-09-25T04:24:34  s2673-desk-Mk9dlA  3
2026-09-25T04:24:34  s2673-desk-TXtSYw  3
2026-09-25T04:24:34  s2673-desk-Tl6vxN  3
2026-09-25T04:24:34  s2673-desk-axGkX8  3
2026-09-25T04:24:34  s2673-desk-oDAJm8  3
2026-09-25T04:24:34  s2673-desk-vjzAL8  3
2026-09-25T05:15:25  s2673-desk-6fQyV7  3
2026-09-25T05:15:25  s2673-desk-GrHvx4  3
2026-09-25T05:15:25  s2673-desk-LhmVtn  3
2026-09-25T05:15:25  s2673-desk-PX500U  3
2026-09-25T05:15:25  s2673-desk-U7EWgC  3
2026-09-25T05:15:25  s2673-desk-Wjv4CL  3
2026-09-25T05:15:25  s2673-desk-byfHo3  3
2026-09-25T05:15:25  s2673-desk-eEgD2F  3
2026-09-25T05:15:25  s2673-desk-jRO9Bn  3
2026-09-25T05:15:25  s2673-desk-ssYzV9  3
2026-09-25T05:24:20  s2673-desk-5XwkH0  3
2026-09-25T05:24:20  s2673-desk-D0VqT2  3
2026-09-25T05:24:20  s2673-desk-jvMQTz  3
2026-09-25T05:24:20  s2673-desk-ynUaya  3
2026-09-25T05:24:21  s2673-desk-KF29Bn  3
2026-09-25T05:24:21  s2673-desk-L68fom  3
2026-09-25T05:24:21  s2673-desk-P7SVxl  3
2026-09-25T05:24:21  s2673-desk-XtxRyX  3
2026-09-25T05:24:21  s2673-desk-jBnkzs  3
2026-09-25T05:24:21  s2673-desk-x8xa7f  3
2026-09-25T05:31:22  s2673-desk-A6hLp0  3
2026-09-25T05:31:22  s2673-desk-Nbo0S5  3
2026-09-25T05:31:22  s2673-desk-eJuU5y  3
2026-09-25T05:31:23  s2673-desk-0Pfj4a  3
2026-09-25T05:31:23  s2673-desk-0xJweI  3
2026-09-25T05:31:23  s2673-desk-B4UwIj  3
2026-09-25T05:31:23  s2673-desk-Mp9S9J  3
2026-09-25T05:31:23  s2673-desk-OQaP4A  3
2026-09-25T05:31:23  s2673-desk-ogCxEP  3
2026-09-25T05:31:23  s2673-desk-w15Z1o  3
2026-09-25T05:34:53  s2673-desk-ETCLBZ  3
2026-09-25T05:34:53  s2673-desk-FjK1J8  3
2026-09-25T05:34:53  s2673-desk-TEQPll  3
2026-09-25T05:34:53  s2673-desk-dAbEpX  3
2026-09-25T05:34:54  s2673-desk-77C8nZ  3
2026-09-25T05:34:54  s2673-desk-7We9D4  3
2026-09-25T05:34:54  s2673-desk-FqKOSm  3
2026-09-25T05:34:54  s2673-desk-Qqhxqq  3
2026-09-25T05:34:54  s2673-desk-pKFjaF  3
2026-09-25T05:34:54  s2673-desk-yHxkwp  3
2026-09-25T07:05:28  s2673-desk-AhJ4m8  3
2026-09-25T07:05:28  s2673-desk-FwASOP  3
2026-09-25T07:05:28  s2673-desk-JbVBaG  3
2026-09-25T07:05:28  s2673-desk-VXY3n0  3
2026-09-25T07:05:28  s2673-desk-bCtRHa  3
2026-09-25T07:05:28  s2673-desk-uXf3Rv  3
2026-09-25T07:05:29  s2673-desk-OQc2Jk  3
2026-09-25T07:05:29  s2673-desk-WU1BAx  3
2026-09-25T07:05:29  s2673-desk-iCIdQg  3
2026-09-25T07:05:29  s2673-desk-vwBJ8q  3
2026-09-25T08:18:00  s2673-desk-Gl0ZDa  3
2026-09-25T08:18:00  s2673-desk-mOByMh  3
2026-09-25T08:18:00  s2673-desk-szcRsn  3
2026-09-25T08:18:01  s2673-desk-0bFg2I  3
2026-09-25T08:18:01  s2673-desk-4a7Ty8  3
2026-09-25T08:18:01  s2673-desk-6vrJXk  3
2026-09-25T08:18:01  s2673-desk-BaMuj2  3
2026-09-25T08:18:01  s2673-desk-LaRTlZ  3
2026-09-25T08:18:01  s2673-desk-QtMoUO  3
2026-09-25T08:18:01  s2673-desk-iMdfUL  3
2026-09-25T09:18:24  s2673-desk-9EDhFT  3
2026-09-25T09:18:25  s2673-desk-Qw8LEK  3
2026-09-25T09:18:25  s2673-desk-baXiDV  3
2026-09-25T09:18:25  s2673-desk-mnA7sB  3
2026-09-25T09:18:25  s2673-desk-nesfYb  3
2026-09-25T09:18:26  s2673-desk-OneaJT  3
2026-09-25T09:18:26  s2673-desk-YqXwoQ  3
2026-09-25T09:18:26  s2673-desk-jVX0r9  3
2026-09-25T09:18:27  s2673-desk-UZBbDQ  3
2026-09-25T09:18:27  s2673-desk-rYqpXa  3
2026-09-25T09:31:14  s2673-desk-5UwnbZ  3
2026-09-25T09:31:14  s2673-desk-gSZtFS  3
2026-09-25T09:31:14  s2673-desk-ilMKSr  3
2026-09-25T09:31:15  s2673-desk-6kx1Pw  3
2026-09-25T09:31:15  s2673-desk-R3bwsD  3
2026-09-25T09:31:15  s2673-desk-dnqHRU  3
2026-09-25T09:31:15  s2673-desk-ipSiCN  3
2026-09-25T09:31:16  s2673-desk-LbaNDz  3
2026-09-25T09:31:16  s2673-desk-bIZ7tD  3
2026-09-25T09:31:17  s2673-desk-8ESURI  3
2026-09-25T09:50:22  s2673-desk-1Yrn1i  3
2026-09-25T09:50:22  s2673-desk-Fj6pLj  3
2026-09-25T09:50:22  s2673-desk-ILZrP5  3
2026-09-25T09:50:22  s2673-desk-OLKZh2  3
2026-09-25T09:50:22  s2673-desk-S6Nuvm  3
2026-09-25T09:50:22  s2673-desk-XnF2GZ  3
2026-09-25T09:50:22  s2673-desk-cRM2Dp  3
2026-09-25T09:50:22  s2673-desk-k0mrQb  3
2026-09-25T09:50:22  s2673-desk-uejcsj  3
2026-09-25T09:50:22  s2673-desk-zyljY6  3
2026-09-25T10:01:05  s2673-desk-9Rm5Wb  3
2026-09-25T10:01:05  s2673-desk-G1I8mk  3
2026-09-25T10:01:05  s2673-desk-M3lePI  3
2026-09-25T10:01:05  s2673-desk-zGorca  3
2026-09-25T10:01:06  s2673-desk-W14u4K  3
2026-09-25T10:01:06  s2673-desk-kldxT0  3
2026-09-25T10:01:06  s2673-desk-xgGAy3  3
2026-09-25T10:01:07  s2673-desk-BBDaSm  3
2026-09-25T10:01:07  s2673-desk-dKz52X  3
2026-09-25T10:01:07  s2673-desk-pjPVMv  3
2026-09-25T10:08:44  s2673-desk-0gof2f  3
2026-09-25T10:08:44  s2673-desk-17lRUG  3
2026-09-25T10:08:44  s2673-desk-hIWUnt  3
2026-09-25T10:08:45  s2673-desk-S3aSTp  3
2026-09-25T10:08:45  s2673-desk-YpfVSn  3
2026-09-25T10:08:45  s2673-desk-op8BGb  3
2026-09-25T10:08:46  s2673-desk-87DLq1  3
2026-09-25T10:08:46  s2673-desk-VCT8nf  3
2026-09-25T10:08:46  s2673-desk-oR4PFg  3
2026-09-25T10:08:47  s2673-desk-gSavJw  3
2026-09-25T12:17:23  s2673-desk-unw4tX  3
2026-09-25T12:17:24  s2673-desk-KMOCkw  3
2026-09-25T12:17:24  s2673-desk-SkCmJ4  3
2026-09-25T12:17:25  s2673-desk-mh6W3S  3
2026-09-25T12:17:25  s2673-desk-xY4MwM  3
2026-09-25T12:17:25  s2673-desk-yDqibf  3
2026-09-25T12:17:26  s2673-desk-NT8C3Q  3
2026-09-25T12:17:26  s2673-desk-dQfZXz  3
2026-09-25T12:17:26  s2673-desk-t1L1gI  3
2026-09-25T12:17:27  s2673-desk-Bxkjcs  3
